domain,tier,multiplier,bids,views,clicks,shrunk_rate
mouthwateringmotivation.com,insufficient_data,1.0,27,0,0,0.041874
moviedelic.com,insufficient_data,1.0,19,2,2,0.089527
movienightsathome.com,insufficient_data,1.0,10,0,0,0.059671
movietheaterprices.com,insufficient_data,1.0,2,0,0,0.074588
mowerslab.com,insufficient_data,1.0,8,0,0,0.062811
mp-pistol.com,insufficient_data,1.0,15,2,2,0.097485
mustdorecipes.com,insufficient_data,1.0,3,0,0,0.072328
must-love-garlic.com,insufficient_data,1.0,7,0,0,0.064509
mranimalfarm.com,insufficient_data,1.0,13,0,0,0.055508
mrbosscat.com,insufficient_data,1.0,2,0,0,0.074588
musingsofarover.com,insufficient_data,1.0,5,0,0,0.068195
musictimes.com,insufficient_data,1.0,11,2,2,0.106996
musicinminnesota.com,insufficient_data,1.0,1,1,1,0.109252
musicindustryhowto.com,insufficient_data,1.0,6,0,0,0.066301
musicianwave.com,insufficient_data,1.0,1,0,0,0.076994
musicgrotto.com,insufficient_data,1.0,13,1,1,0.078763
musicaroo.com,insufficient_data,1.0,1,0,0,0.076994
music-for-music-teachers.com,insufficient_data,1.0,17,0,0,0.050784
mushroom-appreciation.com,insufficient_data,1.0,6,0,0,0.066301
1001patterns.com,baseline,1.0,125,2,2,0.028302
myhealthrecipes.com,insufficient_data,1.0,2,0,0,0.074588
mycollegesavvy.com,insufficient_data,1.0,8,0,0,0.062811
myvegasadvisor.com,insufficient_data,1.0,17,1,1,0.07206
mythopedia.com,insufficient_data,1.0,1,0,0,0.076994
mythriftyhouse.com,insufficient_data,1.0,1,0,0,0.076994
mytiguan.com,insufficient_data,1.0,2,0,0,0.074588
mytractorforum.com,insufficient_data,1.0,21,1,1,0.066408
mytuner-radio.com,insufficient_data,1.0,22,1,1,0.065131
myturbodiesel.com,insufficient_data,1.0,2,0,0,0.074588
myturnforus.com,insufficient_data,1.0,5,0,0,0.068195
mytvcharleston.com,insufficient_data,1.0,1,0,0,0.076994
myvintageporch.com,insufficient_data,1.0,28,0,0,0.041152
mytastyeats.com,insufficient_data,1.0,9,0,0,0.061201
myvoyagescotland.com,insufficient_data,1.0,4,0,0,0.070201
mywanderlust.pl,insufficient_data,1.0,10,0,0,0.059671
myweeabode.com,insufficient_data,1.0,27,0,0,0.041874
mywomenstuff.com,insufficient_data,1.0,3,0,0,0.072328
mywordclub.com,insufficient_data,1.0,10,1,1,0.084671
nadabookinfo.com,insufficient_data,1.0,2,0,0,0.074588
nadia-onpoint.com,insufficient_data,1.0,10,0,0,0.059671
nagca.com,insufficient_data,1.0,2,0,0,0.074588
mythirtyspot.com,insufficient_data,1.0,1,0,0,0.076994
mytastefulspace.com,insufficient_data,1.0,1,0,0,0.076994
myconsciouseating.com,insufficient_data,1.0,2,0,0,0.074588
myrecipetreasures.com,insufficient_data,1.0,27,2,2,0.076962
myq105.com,insufficient_data,1.0,3,0,0,0.072328
myqueenstowndiary.com,insufficient_data,1.0,7,0,0,0.064509
myrecipeconfessions.com,insufficient_data,1.0,2,0,0,0.074588
myrecipehaven.com,insufficient_data,1.0,1,0,0,0.076994
myrecipereviews.com,insufficient_data,1.0,12,0,0,0.056829
myrecipes.com,insufficient_data,1.0,18,2,2,0.091392
myrecipesdaily.com,insufficient_data,1.0,1,0,0,0.076994
myrecipespace.com,insufficient_data,1.0,6,1,1,0.094078
myrtlebeachonline.com,insufficient_data,1.0,27,2,2,0.076962
